City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Freeport,US,40.6576,-73.5832,66.16,84,90,5.99,overcast clouds
232,Tefe,BR,-3.3542,-64.7114,95.29,41,27,1.97,scattered clouds
233,San Patricio,US,28.017,-97.5169,92.12,54,16,21.05,few clouds
234,Ust-Maya,RU,60.4167,134.5333,28.47,87,41,3.51,scattered clouds
235,Plettenberg Bay,ZA,-34.0527,23.3716,59.85,77,30,8.55,scattered clouds
236,Neiafu,TO,-18.65,-173.9833,76.66,75,100,9.19,overcast clouds
237,Aykhal,RU,66.0,111.5,24.01,95,100,14.88,light snow
238,Portland,US,45.5234,-122.6762,57.58,90,83,1.99,broken clouds
239,Kitob,UZ,39.0843,66.8332,45.18,43,3,3.47,clear sky
240,Kyshtovka,RU,56.555,76.6271,29.05,74,62,7.76,broken clouds
241,Lebu,CL,-37.6167,-73.65,56.71,70,76,8.79,broken clouds
242,Palu,ID,-0.8917,119.8707,76.59,94,100,1.95,overcast clouds
243,Inhambane,MZ,-23.865,35.3833,69.37,62,98,18.05,overcast clouds
244,Thompson,CA,55.7435,-97.8558,44.76,93,90,6.91,mist
245,Viedma,AR,-40.8135,-62.9967,80.06,18,0,13.89,clear sky
246,Naze,JP,28.3667,129.4833,77.52,87,43,16.89,scattered clouds
247,Cap Malheureux,MU,-19.9842,57.6142,73.89,87,55,7.0,moderate rain
248,Vostok,RU,46.4856,135.8833,37.51,93,99,15.88,overcast clouds
249,Verkhnevilyuysk,RU,63.4453,120.3167,32.74,81,86,10.65,overcast clouds
250,Svetlopolyansk,RU,59.4184,52.3605,41.52,98,100,6.24,overcast clouds
251,Axim,GH,4.8699,-2.2405,77.27,88,100,8.5,light rain
252,Port Lincoln,AU,-34.7333,135.8667,49.98,60,58,9.19,broken clouds
253,Gizo,SB,-8.103,156.8419,80.83,79,82,6.89,broken clouds
254,Pisco,PE,-13.7,-76.2167,68.02,79,78,7.94,broken clouds
255,Dudinka,RU,69.4058,86.1778,25.68,94,99,12.77,snow
256,Kalabo,ZM,-14.97,22.6814,89.94,13,37,3.69,scattered clouds
257,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.75,89,100,13.38,overcast clouds
258,Amalapuram,IN,16.5833,82.0167,79.14,86,37,1.23,scattered clouds
259,Viransehir,TR,37.2353,39.7631,75.74,18,0,6.31,clear sky
260,Seguela,CI,7.9611,-6.6731,76.75,84,99,3.83,light rain
261,Narsaq,GL,60.9167,-46.05,39.09,42,44,0.98,scattered clouds
262,Olafsvik,IS,64.8945,-23.7142,40.48,63,92,3.58,overcast clouds
263,Cabo San Lucas,MX,22.8909,-109.9124,93.61,46,70,3.0,broken clouds
264,Harper,LR,4.375,-7.7169,79.03,83,100,7.85,overcast clouds
265,Padilla,CO,3.2204,-76.3139,83.89,61,53,2.64,broken clouds
266,Caceres,ES,39.522,-6.3748,72.81,48,49,9.13,scattered clouds
267,Aksarka,RU,66.5606,67.7975,27.23,80,21,6.73,few clouds
268,Pacific Grove,US,36.6177,-121.9166,73.11,71,0,5.01,clear sky
269,Karanganyar,ID,-6.7072,111.0834,78.24,72,60,8.37,broken clouds
270,Winnipeg,CA,49.8844,-97.147,54.09,98,90,5.75,mist
271,Srednekolymsk,RU,67.45,153.6833,7.36,95,15,3.36,few clouds
272,Erdenet,MN,49.0333,104.0833,34.56,52,53,3.18,broken clouds
273,Fortuna,US,40.5982,-124.1573,61.93,67,5,4.0,clear sky
274,Caxito,AO,-8.5785,13.6643,75.47,72,1,8.16,clear sky
275,San Cristobal,VE,7.7669,-72.225,85.35,49,79,0.29,broken clouds
276,Muisne,EC,0.6,-80.0333,77.13,78,98,8.86,overcast clouds
277,Akureyri,IS,65.6835,-18.0878,34.54,98,99,1.59,light rain
278,Astorga,BR,-23.2325,-51.6656,63.61,84,100,13.89,overcast clouds
279,Mae Sot,TH,16.7167,98.5667,74.52,99,98,2.06,light rain
280,Ostrovnoy,RU,68.0531,39.5131,42.67,95,100,3.83,overcast clouds
281,Doka,SD,13.5167,35.7667,80.69,65,72,3.47,broken clouds
282,Longyearbyen,SJ,78.2186,15.6401,21.04,79,20,8.05,few clouds
283,Armidale,AU,-30.5167,151.65,53.82,98,100,5.75,light rain
284,Storslett,NO,69.7678,21.0247,48.22,90,100,5.99,overcast clouds
285,Urambo,TZ,-5.0667,32.05,85.37,25,92,4.65,overcast clouds
286,Pabbi,PK,34.0106,71.7989,75.58,57,61,3.67,broken clouds
287,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,74,40,16.11,volcanic ash
288,Cairns,AU,-16.9167,145.7667,69.75,89,10,8.05,clear sky
289,Santa Cruz,BO,-17.8,-63.1667,89.62,44,84,7.56,broken clouds
290,Port-Cartier,CA,50.0334,-66.8654,52.75,72,100,4.34,overcast clouds
291,Fukuma,JP,33.7667,130.4667,73.4,80,0,0.96,clear sky
292,Bontang,ID,0.1333,117.5,78.73,88,100,7.2,overcast clouds
293,San Vicente,AR,-26.6167,-54.1333,68.59,73,98,5.44,overcast clouds
294,Richards Bay,ZA,-28.783,32.0377,63.84,63,97,6.53,overcast clouds
295,Alappuzha,IN,9.49,76.3264,79.21,85,42,3.96,scattered clouds
296,Muros,ES,42.7762,-9.0603,71.1,50,1,13.44,clear sky
297,Lunenburg,CA,44.3835,-64.3155,65.05,54,98,7.65,overcast clouds
298,Virginia Beach,US,36.8529,-75.978,78.03,76,90,3.0,overcast clouds
299,Road Town,VG,18.4167,-64.6167,83.19,78,14,21.21,few clouds
300,Sisimiut,GL,66.9395,-53.6735,36.3,67,100,9.17,overcast clouds
301,Bengkulu,ID,-3.8004,102.2655,76.41,90,60,4.99,broken clouds
302,Russell,US,32.3502,-85.1999,82.96,68,19,4.5,few clouds
303,Luganville,VU,-15.5333,167.1667,77.11,86,100,11.56,overcast clouds
304,Nerchinskiy Zavod,RU,51.3088,119.61,33.82,80,13,5.01,few clouds
305,Dicabisagan,PH,17.0818,122.4157,77.92,89,99,7.65,moderate rain
306,Norman Wells,CA,65.282,-126.8329,28.98,89,95,8.39,overcast clouds
307,Pontes E Lacerda,BR,-15.2261,-59.3353,97.59,32,73,8.14,broken clouds
308,Jalu,LY,29.0331,21.5482,82.36,23,0,9.33,clear sky
309,Maarianhamina,AX,60.0973,19.9348,51.66,82,0,14.97,clear sky
310,Guerrero Negro,MX,27.9769,-114.0611,76.93,47,0,6.31,clear sky
311,Nuqui,CO,5.7125,-77.2708,81.72,77,31,10.56,light rain
312,Vila,PT,42.0304,-8.1588,64.33,48,14,4.27,few clouds
313,Ise,JP,34.4833,136.7,70.92,86,1,2.3,clear sky
314,Yendi,GH,9.4427,-0.0099,83.37,64,74,7.47,light rain
315,Vestmanna,FO,62.1564,-7.1664,41.92,81,90,16.11,overcast clouds
316,Paracuru,BR,-3.41,-39.0306,86.02,62,57,15.7,broken clouds
317,Amapa,BR,1.0,-52.0,95.97,34,86,5.19,light rain
318,Zyuzelskiy,RU,56.4856,60.1331,26.44,75,98,1.97,overcast clouds
319,Xiongzhou,CN,25.1167,114.3,72.81,90,99,4.14,overcast clouds
320,North Battleford,CA,52.7834,-108.2847,52.41,32,99,7.47,overcast clouds
321,Zalesovo,RU,53.9939,84.7431,39.74,80,98,1.63,overcast clouds
322,Mporokoso,ZM,-9.3727,30.125,78.94,20,80,6.02,broken clouds
323,Lata,PT,40.1629,-8.3327,72.05,43,97,4.05,overcast clouds
324,Ha Noi,VN,21.0245,105.8412,75.2,93,100,13.53,overcast clouds
325,Sao Mateus Do Sul,BR,-25.8742,-50.3828,60.13,92,100,2.59,overcast clouds
326,Nanortalik,GL,60.1432,-45.2371,37.89,57,17,3.04,few clouds
327,Ryotsu,JP,38.0833,138.4333,71.42,82,2,10.13,clear sky
328,Hasaki,JP,35.7333,140.8333,66.29,69,49,16.26,scattered clouds
329,Kavaratti,IN,10.5669,72.642,82.45,80,92,12.93,overcast clouds
330,Port Blair,IN,11.6667,92.75,80.33,86,93,16.08,overcast clouds
331,Umm Lajj,SA,25.0213,37.2685,87.01,59,11,6.73,few clouds
332,Surt,LY,31.2089,16.5887,77.88,74,69,18.84,broken clouds
333,Saskylakh,RU,71.9167,114.0833,12.76,96,100,6.8,overcast clouds
334,Morristown,US,36.214,-83.2949,79.83,66,1,0.0,clear sky
335,Changji,CN,44.0167,87.3167,45.39,53,0,6.71,clear sky
336,Vardo,NO,70.3705,31.1107,44.58,93,75,8.05,broken clouds
337,Carnarvon,AU,-24.8667,113.6333,66.74,68,0,22.28,clear sky
338,Punta Gorda,US,26.9298,-82.0454,89.98,52,0,1.99,clear sky
339,Balangir,IN,20.7167,83.4833,74.88,71,4,2.33,clear sky
